platform,job_title,category,skills_required,job_type,budget_usd,location_preference,duration_estimate,url,main_category,skill_count,payout_tier
Freelancer.com,QUORA EXPERTS ONLY - Pay based on performance - up to $75 per hour,mixed,"article rewriting, article writing, content writing, quora, research writing",fixed,11.0,worldwide,short-term,https://www.freelancer.com/projects/articles/quora-experts-only-pay-based,other,5,Low
Freelancer.com,Invideo Video Creator Needed -- 2,mixed,"animation, video ads, video editing, video production, video services",fixed,26.0,worldwide,short-term,https://www.freelancer.com/projects/video-services/invideo-video-creator-needed,other,5,Low
Freelancer.com,Informational Educational Website Development,mixed,"graphic design, html, php, website design",fixed,80.0,worldwide,short-term,https://www.freelancer.com/projects/website-design/informational-educational-website-39509437,other,4,Low
Freelancer.com,Flutter & Supabase Expense Tracker App,mixed,"android, graphic design, iphone, mobile app development, user interface / ia",fixed,6.0,worldwide,short-term,https://www.freelancer.com/projects/mobile-app-development/flutter-supabase-expense-tracker-app,other,5,Low
Freelancer.com,Brevo Email Automation Setup,mixed,"bulk marketing, email handling, email marketing, mailchimp, php",fixed,51.0,worldwide,short-term,https://www.freelancer.com/projects/email-marketing/brevo-email-automation-setup,other,5,Low
Freelancer.com,Emotional Modern-Day Romance Story,mixed,"article writing, book writing, creative writing, fiction, ghostwriting",fixed,15.0,worldwide,short-term,https://www.freelancer.com/projects/ghostwriting/emotional-modern-day-romance-story,other,5,Low
Freelancer.com,2-Story Residential Floor Plan Design,mixed,"3d rendering, autocad, building architecture, home design, interior design",fixed,108.0,worldwide,short-term,https://www.freelancer.com/projects/building-architecture/story-residential-floor-plan-design,other,5,Medium
Freelancer.com,Actress required short videos,mixed,"data entry, fashion modeling, videography, virtual assistant",fixed,20.0,worldwide,short-term,https://www.freelancer.com/projects/fashion-modeling/lead-actress-for-short-videos,other,4,Low
Freelancer.com,Shopify Site Updations,mixed,"ecommerce, html, shopify, shopify templates, website design",fixed,18.0,worldwide,short-term,https://www.freelancer.com/projects/shopify-site/shopify-site-updations,other,5,Low
Freelancer.com,Comprehensive Women's Health and Wellness App,mixed,"graphic design, iphone, mobile app development, user interface / ia, website design",fixed,261.0,worldwide,short-term,https://www.freelancer.com/projects/iphone-app-development/comprehensive-women-health-wellness-app,other,5,Medium
Freelancer.com,Business Proposal PowerPoint,mixed,"brochure design, graphic design, marketing, powerpoint, presentations",fixed,97.0,worldwide,short-term,https://www.freelancer.com/projects/brochure-design/business-proposal-powerpoint,other,5,Low
Freelancer.com,https://www.freelancer.com/groups/general-announcements/feed/305566/comments,mixed,"facebook marketing, internet marketing, marketing, social media marketing, twitter",fixed,307.0,worldwide,short-term,https://www.freelancer.com/projects/facebook-marketing/https-www-freelancer-com-groups,other,5,Medium
Freelancer.com,**Project Title**: Data Scraping for Professional Contact Details in Durg-RAIPUR District and Bhilai City,mixed,"data entry, data mining, excel, web scraping, web search",fixed,21.0,worldwide,short-term,https://www.freelancer.com/projects/data-mining/project-title-data-scraping-for,other,5,Low
Freelancer.com,Voice Recording & Whisper Transcription Development,mixed,"audio services, english (us) translator, python, software architecture, voice talent",fixed,86.0,worldwide,short-term,https://www.freelancer.com/projects/python/voice-recording-whisper-transcription,other,5,Low
Freelancer.com,EMI Calculator - Android App Source Code,mixed,"android app development, android studio, coding, java, mobile app development",fixed,115.0,worldwide,short-term,https://www.freelancer.com/projects/mobile-app-development/emi-calculator-android-app-source,other,5,Medium
Freelancer.com,Passionate Content Writer,mixed,"article writing, blog, content writing, copywriting, ghostwriting",fixed,6.0,worldwide,short-term,https://www.freelancer.com/projects/articles/passionate-content-writer-39509397,other,5,Low
Freelancer.com,Thesis Refinement Specialist,mixed,"copy typing, copywriting, creative writing, editing, research writing",fixed,10.0,worldwide,short-term,https://www.freelancer.com/projects/editing/thesis-refinement-specialist,other,5,Low
Freelancer.com,"Strong Python or full-stack developer  Experience with OpenAI, Google Sheets, and WordPress APIs  Skilled at PDF text/heading extraction",mixed,"google app engine, javascript, php, python, software architecture",fixed,310.0,worldwide,short-term,https://www.freelancer.com/projects/python/strong-python-full-stack-developer,other,5,Medium
Freelancer.com,LinkedIn Content Strategy for Personal Branding,mixed,"article writing, content writing, copywriting, creative writing, ghostwriting",fixed,5.0,worldwide,short-term,https://www.freelancer.com/projects/content-writing/linkedin-content-strategy-for-personal,other,5,Low
Freelancer.com,E-commerce Account Setup and Management,mixed,"ecommerce, html, shopify, shopping cart integration, website design",fixed,15.0,worldwide,short-term,https://www.freelancer.com/projects/ecommerce/commerce-account-setup-management,other,5,Low
Freelancer.com,Tamil Zoho CRM Customization Expert Needed,mixed,"crm, html, zoho crm",fixed,207.0,worldwide,short-term,https://www.freelancer.com/projects/crm/tamil-zoho-crm-customization-expert,other,3,Medium
Freelancer.com,Web Content Writer for ACME Website -- 2,mixed,"article writing, content writing, copywriting, ghostwriting, technical writing",fixed,556.0,worldwide,short-term,https://www.freelancer.com/projects/copywriting/web-content-writer-for-acme,other,5,High
